Name,Country,Latitude,Longitude,geometry,dist_to_bound_km
Muzo Mine,Colombia,5.53528,-74.14639,POINT (-8253938.37895947 617145.2965773601),8.394007998189553
Tequendama Mine,Colombia,5.54389,-74.14889,POINT (-8254216.677686454 618108.2546566137),9.093690338874666
Fwaya-Fwaya mine,Zambia,-13.1043,28.10448,POINT (3128576.4026097413 -1471650.8130925826),54.82116422724136
Kagem Emerald Mine,Zambia,-13.08917,28.13867,POINT (3132382.4159999634 -1469921.5696348278),50.64566901714268
D8 Mine,Zambia,-13.09556,28.13179,POINT (3131616.5379033056 -1470651.8848780731),51.66222166084809
Fwaya-Fwaya Ext 10 Mine,Zambia,-13.0876,28.14097,POINT (3132638.4508287874 -1469742.1367066514),50.33584907993031
Libwente Mine,Zambia,-13.07926,28.16886,POINT (3135743.151427012 -1468788.9898658064),47.14316305322665
Dabwisa Mine,Zambia,-13.07365,28.14954,POINT (3133592.458864886 -1468147.8624632917),48.76699152149313
Fibolele Mine,Zambia,-13.05638,28.14981,POINT (3133622.5151274 -1466174.2872356803),47.903007304475814
Belmont mine,Brazil,-19.67417,-43.12556,POINT (-4800715.379374767 -2234471.574715443),162.52096497667338
Piteiras Mine,Brazil,-19.69359,-43.09255,POINT (-4797040.722983682 -2236767.56460937),158.1935853040423
Cauê mine,Brazil,-19.60202,-43.2135,POINT (-4810504.815395128 -2225943.8509883666),175.24377329844026
Conceição mine,Brazil,-19.65451,-43.25648,POINT (-4815289.327109423 -2232147.4934794246),176.45601068680722
Ponte da Raiz mine,Brazil,-19.40111,-43.08833,POINT (-4796570.954732533 -2202217.5141169787),177.09944934072126
Buzmal Mine,Afghanistan,35.42639,69.83333,POINT (7773810.735998636 4221977.878235735),13.504938542409183
Khenj emerald area,Afghanistan,35.41667,69.76167,POINT (7765833.581288389 4220650.093117468),16.683676191526867
Bakhi Mine,Afghanistan,35.43333,69.86667,POINT (7777522.127821683 4222926.003929509),11.431413233407927
Butak Mine,Afghanistan,35.45,69.83333,POINT (7773810.735998636 4225203.7521830285),15.602623729030144
Dah-Mikeni Mine,Afghanistan,35.4275,69.80444,POINT (7770594.715909617 4222129.518211001),16.253064675182316
Shakiso Mine,Ethiopia,5.88,38.92,POINT (4332554.581674208 655710.6050327922),31.510584396669074
Itabira Mine,Brazil,-19.62,-43.22,POINT (-4811228.392085284 -2228068.6274021734),174.8217812838776
Malysheva Mine,Russia,57.12,61.44,POINT (6839469.514338727 7784685.285209841),152.61610327024002
Panjshir Mine,Afghanistan,35.28,69.45,POINT (7731138.63559285 4201997.429019858),16.63362225108335
Sandawana Mine,Zimbabwe,-20.92,29.93,POINT (3331792.3594426783 -2382341.995086343),1.0107681609823436
Swat Valley,Pakistan,34.77,72.36,POINT (8055078.353801276 4132668.824488023),62.50364197119625
Malipo Mine (麻栗坡),China,23.12,104.7,POINT (11655150.686055742 2646537.0728182457),11.670089897115057
Taxkorgan Mine (塔什库尔干),China,37.77,75.22,POINT (8373452.097470039 4546985.284430412),28.369735705288278
Itabira (Minas Gerais),Brazil,-19.62,-43.22,POINT (-4811228.392085284 -2228068.6274021734),174.8217812838776
Santa Terezinha (Goiás),Brazil,-14.43,-49.72,POINT (-5534805.082241561 -1623596.0007057071),131.43349929947004
Shakiso (Guji Zone),Ethiopia,5.88,38.92,POINT (4332554.581674208 655710.6050327922),31.510584396669074
Panjshir Valley,Afghanistan,35.28,69.45,POINT (7731138.63559285 4201997.429019858),16.63362225108335
Swat Valley (Mingora),Pakistan,34.77,72.36,POINT (8055078.353801276 4132668.824488023),62.50364197119625
Malysheva (Urals),Russia,57.12,61.44,POINT (6839469.514338727 7784685.285209841),152.61610327024002
Sandawana Mine,Zimbabwe,-20.92,29.93,POINT (3331792.3594426783 -2382341.995086343),1.0107681609823436
Ianapera Mine,Madagascar,-24.11,45.05,POINT (5014943.060236974 -2766817.8284298033),14.557641796803305
Poona Mine,Australia,-27.13,117.48,POINT (13077813.778393779 -3139722.940760314),372.13207874030104
Hiddenite,USA,35.91,-81.2,POINT (-9039142.652413813 4288244.566924166),82.91893154223754
Jos Plateau,Nigeria,9.92,8.9,POINT (990743.4680601348 1109848.1430492767),13.427935212931521
Habachtal,Austria,47.19,12.33,POINT (1372569.321481063 5973142.239058358),9.34544631926583
